crf	ultrafast	superfast	veryfast	faster	fast	medium	slow	slower	veryslow
16	8.69440532081377	9.33415492957746	10.8535602503912	10.8535602503912	10.9335289514867	11.5332942097027	13.9323552425665	14.0922926447574	13.9323552425665
17	7.6947965571205	8.214593114241	9.53407668231612	9.53407668231612	9.61404538341158	10.0938575899844	12.0930751173709	12.2130281690141	12.0930751173709
18	6.81514084507042	7.25496870109546	8.45449921752739	8.45449921752739	8.49448356807512	8.81435837245697	10.4537167449139	10.5336854460094	10.4537167449139
19	6.09542253521127	6.49526604068858	7.49487480438185	7.49487480438185	7.53485915492958	7.77476525821596	9.13423317683881	9.21420187793427	9.13423317683881
20	5.41568857589984	5.77554773082942	6.6552034428795	6.6552034428795	6.69518779342723	6.85512519561815	7.93470266040689	7.93470266040689	7.93470266040689
21	4.85590766823161	5.17578247261346	5.93548513302035	5.93548513302035	5.93548513302035	6.09542253521127	7.05504694835681	7.13501564945227	7.01506259780908
22	4.33611111111111	4.61600156494523	5.29573552425665	5.29573552425665	5.33571987480438	5.41568857589984	6.21537558685446	6.29534428794992	6.21537558685446
23	3.89628325508607	4.13618935837246	4.73595461658842	4.73595461658842	4.77593896713615	4.85590766823161	5.53564162754304	5.57562597809077	5.49565727699531
24	3.49643974960876	3.69636150234742	4.21615805946792	4.21615805946792	4.29612676056338	4.33611111111111	4.93587636932707	4.9758607198748	4.89589201877934
25	3.13658059467919	3.33650234741784	3.77633020344288	3.77633020344288	3.85629890453834	3.85629890453834	4.41607981220657	4.41607981220657	4.37609546165884
26	2.81670579029734	3.01662754303599	3.37648669796557	3.37648669796557	3.4164710485133	3.45645539906103	3.9362676056338	3.9362676056338	3.89628325508607
27	2.53681533646322	2.65676838810642	3.01662754303599	3.01662754303599	3.05661189358373	3.09659624413146	3.49643974960876	3.49643974960876	3.45645539906103
28	2.29690923317684	2.41686228482003	2.69675273865415	2.69675273865415	2.77672143974961	2.77672143974961	3.13658059467919	3.13658059467919	3.09659624413146
