Layers of aluminum,CountsPerSecond
0,96.5
1,89.23333333
2,81.1
3,76.8
4,71.66666667
5,63.93333333
6,57.36666667
7,54.6
8,53.9
9,52.36666667
10,43.4
11,39.36666667
12,34
13,33.2
14,29.33333333
15,28.43333333
16,23.9
17,21.1
18,17.73333333
19,18.56666667
20,14.76666667
21,15.36666667
22,11
23,10.96666667
24,9.566666667
25,8.066666667
26,7.066666667
27,6.466666667
28,6.233333333
29,5.066666667
30,4
31,4.066666667
32,3.8
33,3.033333333
34,2.3
35,2.466666667
36,2.333333333
37,1.933333333
38,1.733333333
39,1.566666667
40,1
41,1.166666667
42,1.1
43,0.833333333
44,0.966666667
45,0.633333333
46,0.8
47,0.7
48,0.366666667
49,0.366666667
50,0.533333333
51,0.45
52,0.466666667
53,0.45
54,0.55
55,0.5
56,0.633333333
57,0.516666667
58,0.433333333
59,0.45
